uid	sid	timestamp
A1EDPGHC9EYBUN	0439893577	1368662400
A5I03TZD4J96V	0439893577	1338422400
A3AJWITG95EY0Q	0439893577	1308873600
A1X3ESYZ79H59E	048645195X	1241481600
AKMEY1BSHSDG7	048645195X	1212105600
A2IB3CUVPRE28M	048645195X	1384905600
A1MPWLA14I9OWW	048645195X	1364256000
A2LOD3K7460UB	0545496470	1389398400
A17TMITCPJET4	0615444172	1396396800
A3Z9QN0RCOHEY	0670010936	1400630400
A3T4RR60X5EAN4	0670010936	1371340800
A3EERSWHAI6SO	0735308365	1339891200
AEXV0U23G2GTY	0735321396	1359417600
ABKGN0ETNUNOA	073533305X	1391731200
ASSHPKQBFZPB5	073533305X	1384473600
A30ZWN9BCMHJRK	073533305X	1397260800
A1DD9MSMEKYOVW	0735333483	1370476800
A1YGLSK49JI3NC	0735333483	1387065600
A1QR76SYGTXJN5	073533417X	1357516800
A1W415JP5WEAJK	073533417X	1357171200
A1II2ZRPKZAQQD	073533417X	1354233600
AYWHCM0TJ4737	073533417X	1352851200
ADY836HK6QSYR	073533417X	1358812800
A2877AOHJFZI0E	073533417X	1351987200
A3I9XZGYARBLS4	073533417X	1398297600
A2CNGARED6OWWU	073533417X	1358294400
A3OXRFCJI67IMN	073533417X	1357344000
A3EK2KTYHJCPB9	073533417X	1357084800
A2RX62V4E2BF5Z	073533417X	1357084800
A1X3ESYZ79H59E	073533417X	1358208000
A4WEZJOIZIV4U	073533417X	1353628800
A2C1Y5F8DE9H6P	073533417X	1353888000
A16EIVIBBXFAQ0	073533417X	1353369600
A10E3F50DIUJEE	073533417X	1351814400
A10ZBR6O8S8OCY	073533417X	1357603200
AY3D7DG5L5WCK	073533417X	1357084800
A5K3CK2PWYQ7O	073533417X	1352592000
A2503LT8PZIHAD	073533417X	1357344000
A2P739KOM4U5JB	073533417X	1358208000
A1VYFEJM12ZP11	073533417X	1357171200
A3A8FMW6BDJ166	073533417X	1354492800
A33X80DIINN48Y	073533417X	1354492800
A24U6WGBZ4P74W	073533417X	1356480000
A26EQ8U96JA92T	073533417X	1353628800
A34CSXOGVYF94S	073533417X	1356739200
A3T8WOFS5RD2IR	073533417X	1352332800
A1DY0CRKZEY0FB	073533417X	1355875200
AJQDIT55SZ3ZX	073533417X	1357084800
A4VMQ6ZTSXSSL	073533417X	1358467200
